OP,NOMBRE DE PRODUCTO (IGUAL A LA OP),LOTE,¿BR COMPLETO?,OBSERVACIONES ,UBICACIÓN ASIGNADA,,,,,,
24021,AUROFARVIT ORAL,403FO01,SI,,15,,,,,,
24022,AUROFARVIT ORAL ,403FO02,SI,,15,,,,,,
24115,AUROFARVIT ORAL ,405FO03,SI,,15,,,,,,
24134,AUROFARVIT ORAL,405FO04,SI,,15,,,,,,
24139,AUROFARVIT ORAL ,407FO05,SI,,15,,,,,,
24140,AUROFARVIT ORAL ,407FO06,SI,,16,,,,,,
24274,AUROFARVIT ORAL,409FO07,SI,,16,,,,,,
24248,AUROFARVIT ORAL ,409FO08,SI,No tiene carpeta ,16,,,,,,
24309,AUROFARVIT ORAL ,410FO09,SI,Sin carpeta,16,,,,,,
24310,AUROFARVIT ORAL ,410FO10,SI,,16,,,,,,
24311,AUROFARVIT ORAL,410FO11,SI,,17,,,,,,
24344,AUROFARVIT ORAL ,411FO12,SI,,17,,,,,,
24346,AUROFARVIT ORAL ,411FO14,SI,,17,,,,,,
25049,AUROFARVIT ORAL,502FO01,SI,Inspecciónes sin OP,18,,,,,,
25050,AUROFARVIT ORAL ,502FO02,SI,,18,,,,,,
25051,AUROFARVIT ORAL ,502FO03,SI,,18,,,,,,
25131,AUROFARVIT ORAL ,503FO04,SI,,18,,,,,,
25133,AUROFARVIT ORAL,503FO06,SI,,19,,,,,,
25141,AUROFARVIT ORAL ,503FO07,SI,,19,,,,,,
25002,ANAPIRAN,502AN01,NO,"No tiene portada ni inspección, cuenta con certificados",2,,,,,,
25069,ANAPIRAN ,502AN03,NO,"No tiene portada, no tiene inspección ",2,,,,,,
25070,ANAPIRAN,502AN04,NO,"No tiene inspección, ni portada ",2,,,,,,
25068,ANAPIRAN,502AN02,NO,"No tiene inspección, ni portada ",2,,,,,,
25254,AUROFARVIT ORAL ,506FO12,SI,,20,,,,,,
25335,AUROFARVIT ORAL ,510FO14,SI,,20,,,,,,
23010,AUROMECK INYECTABLE ,303AM01,SI,,22,,,,,,
25024,AUROMECK INYECTABLE ,503AM01,SI,,22,,,,,,
23022,AUROPUPPY,302PE01,SI,,23,,,,,,
23180,AUROPUPPY,308PE02,SI,,23,,,,,,
23023,AUROTEL,303AU01,SI,,24,,,,,,
23024,AUROTEL,303AU02,SI,,24,,,,,,
23122,AUROTEL,306AU03,SI,,24,,,,,,
23123,AUROTEL,306AU04,SI,,24,,,,,,
23177,AUROTEL,310AU05,SI,,24,,,,,,
23178,AUROTEL,310AU06,SI,,25,,,,,,
23281,AUROTEL,312AU07,SI,,25,,,,,,
24132,AUROTEL,407AU01,NO,"Sin carpeta , sin inspección",25,,,,,,
24213,AUROTEL ,410AU02,SI,,25,,,,,,
24295,AUROTEL ,410AU03,SI,,25,,,,,,
25021,AUROTEL,503AU02,SI,,26,,,,,,
25020,AUROTEL,502AU01,SI,,26,,,,,,
23140,AUEOTILMICOSIN,307AT01,SI,,27,,,,,,
24113,AUROTILMICOSIN,405AT01,SI,,27,,,,,,
24212,AUROTILMICOSIN,408AT02,SI,,27,,,,,,
23041,AUROVITEL,303AV01,SI,,28,,,,,,
23231,AUROVITEL ,311AV05,NO,"Falta inspección, tiene portada y carpeta.",28,,,,,,
23215,AUROVITEL,308AV03,SI,,28,,,,,,
24024,AUROVITEL ,403AV01,SI,,28,,,,,,
23121,AUROVITEL ,306AV02,SI,,29,,,,,,
24083,AUROPUPPY,405PE01,SI,,29,,,,,,
23001,ANAPIRAN,301AN01,SI,,3,,,,,,
23025,AUROZOLE 25 Co,304AZ01,SI,,30,,,,,,
23026,AUROZOLE 25 Co,304AZ02,SI,,30,,,,,,
24111,AUROZOLE 25 Co,410AZ01,SI,,30,,,,,,
23042,AVICUR POLVO ,302AC01,SI,,31,,,,,,
23043,AVICUR POLVO,302AC02,SI,,31,,,,,,
23044,AVICUR POLVO,302AC03,SI,,31,,,,,,
23092,AVICUR POLVO,306AC04,SI,,31,,,,,,
23093,AVICUR POLVO,305AC05,SI,,31,,,,,,
23094,AVICUR POLVO,305AC06,SI,,31,,,,,,
23095,AVICUR POLVO ,305AC07,SI,,31,,,,,,
23151,AVICUR POLVO ,308AC08,SI,,32,,,,,,
23149,AVICUR POLVO,307AC09,SI,,32,,,,,,
23150,AVICUR POLVO,307AC10,SI,,32,,,,,,
23151,AVICUR POLVO ,307AC11,SI,,32,,,,,,
23218,AVICUR POLVO ,309AC12,SI,,32,,,,,,
